name,birth_date,space_flight,space_walks,mission,company_name,location,datum,status_mission
Sidney M. Gutierrez,1951-06-27,488,0.0,STS-40,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-06-05 09:24:00-04,Success
F. Andrew Gaffney,1946-06-09,218,0.0,STS-40,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-06-05 09:24:00-04,Success
Charles Lacy Veach,1944-09-18,436,0.0,STS-39,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28 07:33:00-04,Success
Donald R. McMonagle,1952-05-14,605,0.0,STS-39,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28 07:33:00-04,Success
Richard J. Hieb,1955-09-21,766,18.0,STS-39,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28 07:33:00-04,Success
Gregory J. Harbaugh,1956-04-15,817,18.0,STS-39,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28 07:33:00-04,Success
L. Blaine Hammond Jr. ,1952-01-16,462,0.0,STS-39,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1991-04-28 07:33:00-04,Success
William M. Shepherd,1949-07-26,3823,0.0,STS-37,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-04-05 09:22:00-05,Success
Linda M. Godwin,1952-07-02,918,10.0,STS-37,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-04-05 09:22:00-05,Success
Kenneth D. Cameron,1949-11-29,562,0.0,STS-37,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-04-05 09:22:00-05,Success
Jerome Apt III ,1949-04-18,847,11.0,STS-37,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1991-04-05 09:22:00-05,Success
Ronald A. Parise,1951-05-24,614,0.0,STS-35,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-12-02 01:49:00-05,Success
Samuel T. Durrance,1943-09-17,614,0.0,STS-35,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-12-02 01:49:00-05,Success
Carl J. Meade,1950-11-16,712,6.0,STS-38,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-11-15 18:48:00-05,Success
Charles D. Gemar,1955-08-04,581,0.0,STS-38,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-11-15 18:48:00-05,Success
Frank L. Culbertson Jr. ,1949-05-15,3446,5.0,STS-38,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-11-15 18:48:00-05,Success
Bruce E. Melnick,1949-12-05,311,0.0,STS-41,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-10-06 07:47:00-04,Success
Robert D. Cabana,1949-01-23,910,0.0,STS-41,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-10-06 07:47:00-04,Success
Thomas D. Akers,1951-05-20,814,29.0,STS-41,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1990-10-06 07:47:00-04,Success
Pierre J. Thuot,1955-05-19,654,17.0,STS-36,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-02-28 02:50:00-05,Success
John H. Casper,1943-07-09,825,0.0,STS-36,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-02-28 02:50:00-05,Success
James D. Wetherbee,1952-11-27,1594,0.0,STS-32,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09 07:35:00-05,Success
G. David Low,1956-02-19,714,6.0,STS-32,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09 07:35:00-05,Success
Marsha S. Ivins,1951-04-15,1341,0.0,STS-32,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1990-01-09 07:35:00-05,Success
Owen K. Garriott,1930-11-22,1674,14.0,STS-9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-11-28 11:00:00-05,Success
Brewster H. Shaw Jr. ,1945-05-16,533,0.0,STS-9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-11-28 11:00:00-05,Success
Robert A. Parker,1936-12-14,462,0.0,STS-9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-11-28 11:00:00-05,Success
Byron K. Lichtenberg,1948-02-19,461,0.0,STS-9,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-11-28 11:00:00-05,Success
William E. Thornton,1929-04-14,315,0.0,STS-8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-09-05 03:40:00-04,Success
Dale A. Gardner,1948-11-08,336,12.0,STS-8,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1983-09-05 03:40:00-04,Success
